game_id,inn_ct,bunt_fl,bat_id,pit_id,runs_scored,away_team_id,home_team_id,away_score_final,home_score_final,win_team_id,loss_team_id,OPS,SH_rate_bat
ANA202106230,10,TRUE,lagaj001,littz001,0,SFN,ANA,9,3,SFN,ANA,0.638,0.012232415902140673
ANA202106230,11,FALSE,walsj001,brebj001,0,SFN,ANA,9,3,SFN,ANA,0.849,0
ANA202109220,10,FALSE,ohtas001,taylb004,0,HOU,ANA,9,5,HOU,ANA,0.964,0
ANA202109220,11,TRUE,lagaj001,garcy001,0,HOU,ANA,9,5,HOU,ANA,0.638,0.012232415902140673
ANA202206210,10,FALSE,stasm001,coled003,0,KCA,ANA,12,11,KCA,ANA,0.57,0.002666667
ANA202208130,10,TRUE,fletd002,pagae001,0,MIN,ANA,3,5,MIN,ANA,0.621,0.00877193
ANA202208130,11,FALSE,wardt002,pagae001,2,MIN,ANA,3,5,MIN,ANA,0.833,0
ANA202209030,10,FALSE,aguir002,nerih001,0,HOU,ANA,1,2,HOU,ANA,0.413,0
ANA202209030,11,FALSE,troum001,matop002,0,HOU,ANA,1,2,HOU,ANA,0.999,0
ANA202209030,12,FALSE,sierm002,smitw002,1,HOU,ANA,1,2,HOU,ANA,0.442,0.010416666666666666
ARI202107300,10,FALSE,vanmj001,nelsj004,1,LAN,ARI,5,6,LAN,ARI,0.651,0
ARI202109050,10,TRUE,mccaj003,ramiy002,0,SEA,ARI,10,4,SEA,ARI,0.706,0.014285714285714285
ATL202105080,10,FALSE,albio001,kintb001,0,PHI,ATL,7,8,PHI,ATL,0.798,0
ATL202107040,10,FALSE,swand001,bassa001,1,MIA,ATL,7,8,MIA,ATL,0.76,0.001531394
ATL202108110,10,FALSE,freef001,givem001,0,CIN,ATL,6,8,CIN,ATL,0.896,0
ATL202109090,10,FALSE,solej001,suerw002,1,WAS,ATL,6,7,WAS,ATL,0.658,0
ATL202205150,10,TRUE,arcio002,crisn001,0,SDN,ATL,7,3,SDN,ATL,0.732,0
ATL202207100,10,FALSE,ozunm001,raint003,0,WAS,ATL,3,4,WAS,ATL,0.687,0
ATL202207100,11,FALSE,darnt001,raint003,0,WAS,ATL,3,4,WAS,ATL,0.791,0
ATL202207100,12,FALSE,olsom001,weemj001,1,WAS,ATL,3,4,WAS,ATL,0.802,0
BAL202104290,10,TRUE,valap001,loaij001,1,NYA,BAL,3,4,NYA,BAL,0.54,0.003558719
BAL202109160,10,TRUE,martr006,peraw002,1,NYA,BAL,2,3,NYA,BAL,0.555,0.00952381
BAL202204150,10,FALSE,mounr001,schmc002,0,NYA,BAL,1,2,NYA,BAL,0.728,0
BAL202204150,11,FALSE,matej003,schmc002,1,NYA,BAL,1,2,NYA,BAL,0.646,0.005649718
BAL202204300,10,FALSE,mcker001,sawah001,1,BOS,BAL,1,2,BOS,BAL,0.634,0.011627906976744186
BAL202205200,12,FALSE,santa003,thomr007,0,TBA,BAL,6,8,TBA,BAL,0.773,0
BAL202205200,13,TRUE,uriar001,garzr001,2,TBA,BAL,6,8,TBA,BAL,0.719,0.006741573
BAL202205220,10,FALSE,manct001,knigd001,0,TBA,BAL,6,7,TBA,BAL,0.751,0
BAL202205220,11,TRUE,owinc001,knigd001,1,TBA,BAL,6,7,TBA,BAL,0.397,0.014705882352941176
BAL202207040,10,TRUE,odorr001,moorm003,1,TEX,BAL,6,7,TEX,BAL,0.632,0
BAL202207050,10,TRUE,chirr001,moorm003,1,TEX,BAL,9,10,TEX,BAL,0.552,0.004545455
BAL202208250,10,TRUE,odorr001,kellj001,0,CHA,BAL,3,4,CHA,BAL,0.632,0
BAL202208250,11,FALSE,rutsa001,diekj001,1,CHA,BAL,3,4,CHA,BAL,0.807,0
BOS202104060,10,FALSE,arroc001,kitta001,0,TBA,BOS,5,6,TBA,BOS,0.769,0.005555556
BOS202108230,11,TRUE,vazqc001,santd003,4,TEX,BOS,4,8,TEX,BOS,0.66,0.002008032
BOS202208120,10,FALSE,davij008,trivl001,1,NYA,BOS,2,3,NYA,BOS,0.782,0
CHA202106160,10,FALSE,abrej003,fairp001,1,TBA,CHA,7,8,TBA,CHA,0.832,0
CHA202205290,12,FALSE,vauga001,gselr001,1,CHN,CHA,4,5,CHN,CHA,0.75,0
